Health Facility,Station,Year,Week,Pred_Cases,confidence_rate,confidence_pct,alert_threshold,action_threshold
Chadereka RHC,Chadereka RHC,2025,1,6,0.6120906669082062,61.2,7.8,7.8
Chadereka RHC,Chadereka RHC,2025,2,9,0.7549198857729691,75.5,13.9,13.9
Chadereka RHC,Chadereka RHC,2025,3,8,0.7751519992134787,77.5,15.3,15.3
Chadereka RHC,Chadereka RHC,2025,4,2,0.8349413087151266,83.5,16.6,16.6
Chadereka RHC,Chadereka RHC,2025,5,6,0.6675186157226562,66.8,15.454545454545455,15.454545454545455
Chadereka RHC,Chadereka RHC,2025,6,6,0.8217974901199341,82.2,14.545454545454545,14.545454545454545
Chadereka RHC,Chadereka RHC,2025,7,5,0.7502130079269409,75.0,18.636363636363637,18.636363636363637
Chadereka RHC,Chadereka RHC,2025,8,5,0.8891665935516357,88.9,17.636363636363637,17.636363636363637
Chadereka RHC,Chadereka RHC,2025,9,6,0.7756483078002929,77.6,23.454545454545453,23.454545454545453
Chadereka RHC,Chadereka RHC,2025,10,7,0.861336924235026,86.1,40.54545454545455,40.54545454545455
Chadereka RHC,Chadereka RHC,2025,11,8,0.8088287353515624,80.9,44.45454545454545,44.45454545454545
Chadereka RHC,Chadereka RHC,2025,12,8,0.8665940984090168,86.7,51.45454545454545,51.45454545454545
Chadereka RHC,Chadereka RHC,2025,13,10,0.9235126158248546,92.4,70.0,70.0
Chadereka RHC,Chadereka RHC,2025,14,9,0.9126702499389647,91.3,120.0,120.0
Chadereka RHC,Chadereka RHC,2025,15,11,0.9331806394788953,93.3,93.18181818181819,93.18181818181819
Chadereka RHC,Chadereka RHC,2025,16,8,0.8916296320376187,89.2,83.18181818181819,83.18181818181819
Chadereka RHC,Chadereka RHC,2025,17,9,0.9306479654598645,93.1,129.27272727272728,129.27272727272728
Chadereka RHC,Chadereka RHC,2025,18,7,0.9359534625349373,93.6,125.36363636363636,125.36363636363636
Chadereka RHC,Chadereka RHC,2025,19,7,0.912884033203125,91.3,100.54545454545455,100.54545454545455
Chadereka RHC,Chadereka RHC,2025,20,6,0.8836432961856617,88.4,72.63636363636364,72.63636363636364
Chadereka RHC,Chadereka RHC,2025,21,5,0.8958265075683594,89.6,58.90909090909091,58.90909090909091
Chadereka RHC,Chadereka RHC,2025,22,5,0.891945571899414,89.2,48.45454545454545,48.45454545454545
Chadereka RHC,Chadereka RHC,2025,23,4,0.8318327109018961,83.2,52.18181818181818,52.18181818181818
Chadereka RHC,Chadereka RHC,2025,24,4,0.7425831900702582,74.3,43.81818181818182,43.81818181818182
Chadereka RHC,Chadereka RHC,2025,25,4,0.7876536475287543,78.8,28.09090909090909,28.09090909090909
Chadereka RHC,Chadereka RHC,2025,26,4,0.816324296108512,81.6,23.0,23.0
Chadereka RHC,Chadereka RHC,2025,27,5,0.7701923370361328,77.0,25.90909090909091,25.90909090909091
Chadereka RHC,Chadereka RHC,2025,28,4,0.855524109957511,85.6,24.545454545454547,24.545454545454547
Chadereka RHC,Chadereka RHC,2025,29,4,0.6841660857200622,68.4,17.818181818181817,17.818181818181817
Chadereka RHC,Chadereka RHC,2025,30,3,0.8738616891809412,87.4,16.90909090909091,16.90909090909091
Chadereka RHC,Chadereka RHC,2025,31,4,0.6702842426300049,67.0,9.545454545454545,9.545454545454545
Chadereka RHC,Chadereka RHC,2025,32,3,0.6713716840744018,67.1,6.0,6.0
Chadereka RHC,Chadereka RHC,2025,33,3,0.6021379566192626,60.2,9.272727272727273,9.272727272727273
Chadereka RHC,Chadereka RHC,2025,34,3,0.7198843219063498,72.0,8.272727272727273,8.272727272727273
Chadereka RHC,Chadereka RHC,2025,35,3,0.3,30.0,3.6363636363636362,3.6363636363636362
Chadereka RHC,Chadereka RHC,2025,36,4,0.7093539237976074,70.9,9.181818181818182,9.181818181818182
Chadereka RHC,Chadereka RHC,2025,37,5,0.7039078315099079,70.4,12.090909090909092,12.090909090909092
Chadereka RHC,Chadereka RHC,2025,38,5,0.774799919128418,77.5,8.363636363636363,8.363636363636363
Chadereka RHC,Chadereka RHC,2025,39,5,0.7306142449378967,73.1,10.181818181818182,10.181818181818182
Chadereka RHC,Chadereka RHC,2025,40,5,0.7416001319885254,74.2,6.181818181818182,6.181818181818182
Chadereka RHC,Chadereka RHC,2025,41,4,0.7923525723544034,79.2,7.0,7.0
Chadereka RHC,Chadereka RHC,2025,42,2,0.5498999953269958,55.0,3.727272727272727,3.727272727272727
Chadereka RHC,Chadereka RHC,2025,43,2,0.637863540649414,63.8,2.5454545454545454,2.5454545454545454
Chadereka RHC,Chadereka RHC,2025,44,2,0.5461043013466729,54.6,2.4545454545454546,2.4545454545454546
Chadereka RHC,Chadereka RHC,2025,45,2,0.5913796424865723,59.1,2.3636363636363638,2.3636363636363638
Chadereka RHC,Chadereka RHC,2025,46,2,0.6485384553670883,64.9,2.0,2.0
Chadereka RHC,Chadereka RHC,2025,47,2,0.6628746271133423,66.3,1.1818181818181819,1.1818181818181819
Chadereka RHC,Chadereka RHC,2025,48,2,0.34621192216873165,34.6,1.0,1.0
Chadereka RHC,Chadereka RHC,2025,49,3,0.7360423147678374,73.6,1.1818181818181819,1.1818181818181819
Chadereka RHC,Chadereka RHC,2025,50,3,0.7656424442927043,76.6,2.0,2.0
Chadereka RHC,Chadereka RHC,2025,51,3,0.3,30.0,1.4545454545454546,1.4545454545454546
Chadereka RHC,Chadereka RHC,2025,52,5,0.6972511649131774,69.7,4.545454545454546,4.545454545454546
Chawarura RHC,Chawarura RHC,2025,1,7,0.4078982569954612,40.8,12.8,12.8
Chawarura RHC,Chawarura RHC,2025,2,8,0.6954367247494784,69.5,13.1,13.1
Chawarura RHC,Chawarura RHC,2025,3,6,0.7579676368019798,75.8,13.9,13.9
Chawarura RHC,Chawarura RHC,2025,4,1,0.61197007015498,61.2,9.9,9.9
Chawarura RHC,Chawarura RHC,2025,5,6,0.35986719131469724,36.0,4.454545454545454,4.454545454545454
Chawarura RHC,Chawarura RHC,2025,6,5,0.6285070514678954,62.9,7.636363636363637,7.636363636363637
Chawarura RHC,Chawarura RHC,2025,7,5,0.70429381052653,70.4,8.181818181818182,8.181818181818182
Chawarura RHC,Chawarura RHC,2025,8,5,0.5909331348207262,59.1,7.363636363636363,7.363636363636363
Chawarura RHC,Chawarura RHC,2025,9,6,0.5118749618530273,51.2,5.818181818181818,5.818181818181818
Chawarura RHC,Chawarura RHC,2025,10,6,0.6176058381795884,61.8,8.363636363636363,8.363636363636363
Chawarura RHC,Chawarura RHC,2025,11,7,0.6814448118209839,68.1,15.363636363636363,15.363636363636363
Chawarura RHC,Chawarura RHC,2025,12,8,0.4717614078521728,47.2,24.272727272727273,24.272727272727273
Chawarura RHC,Chawarura RHC,2025,13,10,0.8121842720139194,81.2,36.72727272727273,36.72727272727273
Chawarura RHC,Chawarura RHC,2025,14,10,0.9052678841810959,90.5,43.27272727272727,43.27272727272727
Chawarura RHC,Chawarura RHC,2025,15,12,0.8834999802533317,88.3,84.81818181818181,84.81818181818181
